CURRENTLEVEL;ISINKYEDIBLE;ISBLINKYEDIBLE;ISSUEEDIBLE;ISPINKYEDIBLE;BLINKYDIST;INKYDIST;PINKYDIST;SUEDIST;PACMANPOSITION;CURRENTSCORE;DIRECTIONCHOSEN;
0;true;true;true;true;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_LOW;LEFT;
0;true;true;true;true;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_LOW;RIGHT;
0;true;true;true;true;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_LOW;UP;
0;true;true;true;true;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_LOW;RIGHT;
0;true;true;true;true;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_LOW;DOWN;
0;true;true;true;true;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_LOW;DOWN;
0;true;true;true;true;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_LOW;RIGHT;
0;true;true;true;true;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_LOW;LEFT;
0;true;true;true;true;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_LOW;UP;
0;true;true;true;true;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_LOW;UP;
0;true;true;true;true;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_LOW;UP;
0;true;true;true;true;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_LOW;RIGHT;
0;true;true;true;true;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_LOW;RIGHT;
0;true;true;true;true;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_LOW;RIGHT;
0;true;true;true;true;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_LOW;RIGHT;
0;true;true;true;true;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_LOW;UP;
0;false;false;false;false;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_LOW;LEFT;
0;false;false;false;false;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_LOW;LEFT;
0;false;false;false;false;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_LOW;LEFT;
0;false;false;false;false;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_LOW;LEFT;
0;false;false;false;false;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_LOW;LEFT;
0;false;false;false;false;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_LOW;LEFT;
0;false;false;false;false;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_LOW;RIGHT;
0;false;false;false;false;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_LOW;RIGHT;
0;false;false;false;false;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_HIGH;VERY_LOW;RIGHT;
0;false;false;false;false;HIGH;VERY_HIGH;HIGH;HIGH;VERY_HIGH;VERY_LOW;RIGHT;
0;false;false;false;false;HIGH;VERY_HIGH;HIGH;HIGH;VERY_HIGH;VERY_LOW;LEFT;
0;false;false;false;false;HIGH;VERY_HIGH;HIGH;HIGH;VERY_HIGH;VERY_LOW;RIGHT;
0;false;false;false;false;HIGH;VERY_HIGH;HIGH;HIGH;VERY_HIGH;VERY_LOW;RIGHT;
0;false;false;false;false;HIGH;VERY_HIGH;HIGH;MEDIUM;VERY_HIGH;VERY_LOW;DOWN;
0;false;false;false;false;MEDIUM;VERY_HIGH;HIGH;MEDIUM;VERY_HIGH;VERY_LOW;RIGHT;
0;false;false;false;false;MEDIUM;VERY_HIGH;HIGH;MEDIUM;VERY_HIGH;VERY_LOW;RIGHT;
0;false;false;false;false;LOW;VERY_HIGH;HIGH;LOW;VERY_HIGH;VERY_LOW;DOWN;
0;false;false;false;false;LOW;VERY_HIGH;HIGH;LOW;VERY_HIGH;VERY_LOW;UP;
0;false;false;false;false;LOW;VERY_HIGH;HIGH;LOW;VERY_HIGH;VERY_LOW;UP;
0;false;false;false;false;LOW;VERY_HIGH;HIGH;LOW;VERY_HIGH;VERY_LOW;DOWN;
0;false;false;false;false;LOW;VERY_HIGH;HIGH;LOW;VERY_HIGH;VERY_LOW;LEFT;
0;false;false;false;false;LOW;VERY_HIGH;HIGH;LOW;VERY_HIGH;VERY_LOW;LEFT;
0;false;false;false;false;LOW;VERY_HIGH;HIGH;LOW;VERY_HIGH;VERY_LOW;DOWN;
0;false;false;false;false;LOW;VERY_HIGH;HIGH;LOW;VERY_HIGH;VERY_LOW;UP;
0;true;true;true;true;LOW;VERY_HIGH;HIGH;LOW;VERY_HIGH;VERY_LOW;UP;
0;true;true;true;true;LOW;VERY_HIGH;HIGH;LOW;VERY_HIGH;VERY_LOW;UP;
0;true;true;true;true;LOW;VERY_HIGH;HIGH;LOW;VERY_HIGH;VERY_LOW;LEFT;
0;true;true;true;true;LOW;VERY_HIGH;HIGH;LOW;VERY_HIGH;VERY_LOW;LEFT;
0;true;true;true;true;LOW;VERY_HIGH;HIGH;LOW;VERY_HIGH;VERY_LOW;LEFT;
0;true;true;true;true;LOW;VERY_HIGH;HIGH;LOW;VERY_HIGH;VERY_LOW;LEFT;
0;true;true;true;true;LOW;VERY_HIGH;MEDIUM;LOW;VERY_HIGH;VERY_LOW;LEFT;
0;true;true;true;true;LOW;VERY_HIGH;MEDIUM;LOW;VERY_HIGH;VERY_LOW;RIGHT;
0;true;true;true;true;LOW;VERY_HIGH;MEDIUM;LOW;VERY_HIGH;VERY_LOW;RIGHT;
0;true;true;true;true;LOW;VERY_HIGH;MEDIUM;LOW;VERY_HIGH;VERY_LOW;RIGHT;
